0x13000$<ul><li><b>Det.</b> <i>s</i>, "man"</li><li><b>Det.</b> man and his occupations</li><li><b>Det.</b> in personal names</li><li><b>Log.</b> <i>=j</i>, "I"</li><li><b>Det.</b> first person singular</li></ul>
0x13001$<ul><li><b>Det.</b> eat and drink</li><li><b>Det.</b> speak, think, feel</li><li><b>Det.</b> <i>j</i>, "O (vocative interjection)"</li></ul>
0x13002$<ul><li><b>Det.</b> <i>ḥmsj</i>, "sit"</li></ul>
0x13017$<ul><li><b>Log. or det.</b> <i>jꜣwj</i>, "old"</li><li><b>Log. or det.</b> <i>smsw</i>, "eldest"</li><li><b>Log. or det.</b> <i>wr</i>, "great"</li><li><b>Det.</b> old</li><li><b>Det.</b> lean (verb)</li><li><b>Log. or det.</b> <i>jky</i>, "quarryman"</li></ul>
0x13018$<ul><li><b>Log. or det.</b> <i>smsw</i>, "eldest"</li></ul>
0x13019$<ul><li><b>Log. or det.</b> <i>sr</i>, "official (noun)"</li><li><b>Det.</b> dignitary</li><li><b>Usage as</b> A11</li><li><b>Usage as</b> A19 [Log. or det. <i>wr</i>, "great"]</li><li><b>Usage as</b> A22</li></ul>
0x1301A$<ul><li><b>Det.</b> statue</li></ul>
0x1301B$<ul><li><b>Det.</b> <i>jty</i>, "sovereign"</li></ul>
0x1301C$<ul><li><b>Log. or det.</b> <i>nḫt</i>, "strong"</li><li><b>Det.</b> strike, force, effort</li><li><b>Usage as</b> A25 [Log. or det. <i>ḥwj</i>, "strike"]</li></ul>
0x1301D$<ul><li><b>Log. or det.</b> <i>ḥwj</i>, "strike"</li></ul>
0x1301E$<ul><li><b>Det.</b> call</li><li><b>Det.</b> <i>j</i>, "O (vocative interjection)"</li></ul>
0x1301F$<ul><li><b>Phon. det.</b> <i>jn</i></li></ul>
0x13020$<ul><li><b>Log. or det.</b> <i>qꜣj</i>, "high"</li><li><b>Det.</b> joy</li><li><b>Det.</b> mourn</li><li><b>Det.</b> <i>jꜣs</i>, "bald"</li></ul>
0x13021$<ul><li><b>Det.</b> upside down</li></ul>
0x13022$<ul><li><b>Det.</b> praise, awe, supplicate</li></ul>
0x13023$<ul><li><b>Det.</b> turn away</li></ul>
0x13024$<ul><li><b>Det.</b> dance</li><li><b>Det.</b> joy</li></ul>
0x13025$<ul><li><b>Usage as</b> A32</li></ul>
0x13026$<ul><li><b>Log. or det.</b> <i>mnjw</i>, "herdsman"</li><li><b>Det.</b> wander</li></ul>
0x13027$<ul><li><b>Det.</b> <i>ḫwsj</i>, "pound", "build"</li></ul>
0x13028$<ul><li><b>Log. or det.</b> <i>qd</i>, "build"</li></ul>
0x13029$<ul><li><b>Log. or det.</b> <i>ꜥftj</i>, "brewer"</li></ul>
0x1302A$<ul><li><b>Usage as</b> A36</li></ul>
0x1302B$<ul><li><b>Log.</b> <i>Qjs</i>, "Qus"</li></ul>
0x1302C$<ul><li><b>Usage as</b> A38</li></ul>
0x1302D$<ul><li><b>Det.</b> god</li><li><b>Log.</b> <i>=j</i>, "I (god or king)"</li><li><b>Det.</b> first person singular (god or king)</li></ul>
0x1302E$<ul><li><b>Usage as</b> A40</li></ul>
0x1302F$<ul><li><b>Det.</b> king</li><li><b>Log.</b> <i>=j</i>, "I (king)"</li><li><b>Det.</b> first person singular (king)</li></ul>
0x13030$<ul><li><b>Usage as</b> A41</li></ul>
0x13031$<ul><li><b>Usage as</b> A41</li></ul>
0x13032$<ul><li><b>Log. or det.</b> <i>nsw</i>, "king (of Upper Egypt)"</li><li><b>Det.</b> <i>Wsjr</i>, "Osiris"</li></ul>
0x13033$<ul><li><b>Usage as</b> A43</li></ul>
0x13034$<ul><li><b>Usage as</b> A43</li></ul>
0x13035$<ul><li><b>Log. or det.</b> <i>bjtj</i>, "king of Lower Egypt"</li></ul>
0x13036$<ul><li><b>Usage as</b> A45</li></ul>
0x13037$<ul><li><b>Usage as</b> A45</li></ul>
0x13038$<ul><li><b>Log.</b> <i>mnjw</i>, "herdsman"</li><li><b>Log. or det.</b> <i>sꜣw</i>, "guard", "protect"</li><li><b>Usage as</b> A48</li></ul>
0x13039$<ul><li><b>Log. or det.</b> <i>jrj</i>, "relating to", "belonging to"</li></ul>
0x1303A$<ul><li><b>Det.</b> foreigner</li></ul>
0x1303B$<ul><li><b>Det.</b> revered person</li><li><b>Log.</b> <i>=j</i>, "I (revered person)"</li><li><b>Det.</b> first person singular (revered person)</li><li><b>Log. or det.</b> <i>šps</i>, "noble"</li></ul>
0x1303C$<ul><li><b>Usage as</b> A50 [Det. revered person]</li><li><b>Usage as</b> A50 [Log. or det. <i>šps</i>, "noble"]</li></ul>
0x1303D$<ul><li><b>Usage as</b> A50 [Det. revered person]</li><li><b>Usage as</b> A50 [Log. or det. <i>šps</i>, "noble"]</li></ul>
0x1303E$<ul><li><b>Log. or det.</b> <i>twt</i>, "statue"</li><li><b>Det.</b> mummy</li><li><b>Det.</b> likeness, form</li></ul>
0x1303F$<ul><li><b>Det.</b> death</li></ul>
0x13040$<ul><li><b>Log. or det.</b> <i>sḏr</i>, "lie"</li><li><b>Det.</b> death</li></ul>
0x13041$<ul><li><b>Det.</b> <i>bꜣk</i>, "servant"</li></ul>
0x13042$<ul><li><b>Log.</b> <i>ḥtp-ḏj-nsw</i>, "a boon that the king grants"</li></ul>
0x13043$<ul><li><b>Log. or det.</b> <i>šꜣd</i>, "dig"</li></ul>
0x13044$<ul><li><b>Det.</b> <i>sḥr</i>, "drive away"</li></ul>
0x13045$<ul><li><b>Det.</b> <i>sṯj</i>, "sow"</li></ul>
0x13046$<ul><li><b>Det.</b> turn back, turn away</li></ul>
0x13047$<ul><li><b>Log.</b> <i>wr</i>, "Asiatic prince"</li></ul>
0x13048$<ul><li><b>Det.</b> be seated (of king)</li></ul>
0x13049$<ul><li><b>Det.</b> offering</li></ul>
0x1304A$<ul><li><b>Log.</b> <i>jrj-nṯr</i>, "who belongs to the god"</li></ul>
0x1304B$<ul><li><b>Log. or det.</b> <i>jḥwj</i>, "sistrum player"</li></ul>
0x1304C$<ul><li><b>Log. or det.</b> <i>nmw</i>, "dwarf"</li><li><b>Det.</b> dwarf</li></ul>
0x1304D$<ul><li><b>Det.</b> kill</li></ul>
0x1304E$<ul><li><b>Det.</b> in personal names</li></ul>
0x1304F$<ul><li><b>Usage as</b> C11 [Log. <i>ḥḥ</i>, "million", "many"]</li></ul>
0x13050$<ul><li><b>Det.</b> female</li><li><b>Log. or det.</b> <i>=j</i>, "I (female)"</li></ul>
0x13051$<ul><li><b>Det.</b> pregnant</li></ul>
0x13052$<ul><li><b>Log. or det.</b> <i>msj</i>, "give birth"</li></ul>
0x13053$<ul><li><b>Usage as</b> B3</li><li><b>Usage as</b> A3</li></ul>
0x13054$<ul><li><b>Det.</b> nurse</li></ul>
0x13055$<ul><li><b>Usage as</b> B5</li></ul>
0x13056$<ul><li><b>Det.</b> rear</li></ul>
0x13057$<ul><li><b>Det.</b> in names of queens</li></ul>
0x13058$<ul><li><b>Det.</b> in women's names</li></ul>
0x13059$<ul><li><b>Log. or det.</b> <i>jḥyt</i>, "(female) sistrum player"</li></ul>
0x1305A$<ul><li><b>Log. or det.</b> <i>Rꜥ</i>, "Re"</li></ul>
0x1305B$<ul><li><b>Usage as</b> C1</li></ul>
0x1305C$<ul><li><b>Usage as</b> C1</li></ul>
0x1305D$<ul><li><b>Usage as</b> C1</li></ul>
0x1305E$<ul><li><b>Usage as</b> C1</li></ul>
0x1305F$<ul><li><b>Log. or det.</b> <i>Ḏḥwtj</i>, "Thoth"</li></ul>
0x13060$<ul><li><b>Log. or det.</b> <i>H̱nmw</i>, "Khnum"</li></ul>
0x13061$<ul><li><b>Usage as</b> C4</li></ul>
0x13062$<ul><li><b>Log. or det.</b> <i>Jnpw</i>, "Anubis"</li><li><b>Det.</b> <i>Wpj-wꜣwt</i>, "Upwawet"</li></ul>
0x13063$<ul><li><b>Log. or det.</b> <i>Stḫ</i>, "Seth"</li></ul>
0x13064$<ul><li><b>Log. or det.</b> <i>Mnw</i>, "Min"</li></ul>
0x13065$<ul><li><b>Log. or det.</b> <i>Ḥwt-Ḥr</i>, "Hathor"</li></ul>
0x13066$<ul><li><b>Log. or det.</b> <i>Mꜣꜥt</i>, "Maat"</li></ul>
0x13067$<ul><li><b>Usage as</b> C10</li></ul>
0x13068$<ul><li><b>Log. or det.</b> <i>Ḥḥw</i>, "Heh"</li><li><b>Log.</b> <i>ḥḥ</i>, "million", "many"</li></ul>
0x13069$<ul><li><b>Log. or det.</b> <i>Jmn</i>, "Amun"</li></ul>
0x1306A$<ul><li><b>Usage as</b> C12</li></ul>
0x1306B$<ul><li><b>Log. or det.</b> <i>Jmn-ḥr-ḫpš=f</i>, "Amun-her-khepeshef"</li></ul>
0x1306C$<ul><li><b>Usage as</b> C14</li></ul>
0x1306D$<ul><li><b>Log. or det.</b> <i>Jtm</i>, "Atum"</li></ul>
0x1306E$<ul><li><b>Log. or det.</b> <i>Mnṯw</i>, "Month"</li></ul>
0x1306F$<ul><li><b>Log. or det.</b> <i>Tꜣ-tnn</i>, "Tatenen"</li></ul>
0x13070$<ul><li><b>Log. or det.</b> <i>Ptḥ</i>, "Ptah"</li></ul>
0x13071$<ul><li><b>Usage as</b> C19</li></ul>
0x13072$<ul><li><b>Log. or det.</b> <i>Bs</i>, "Bes"</li></ul>
0x13073$<ul><li><b>Log. or det.</b> <i>Ḫnsw</i>, "Khons"</li></ul>
0x13074$<ul><li><b>Log. or det.</b> <i>Bꜣstt</i>, "Bastet"</li></ul>
0x13075$<ul><li><b>Log. or det.</b> <i>Njt</i>, "Neith"</li></ul>
0x13076$<ul><li><b>Log.</b> <i>tp</i>, "head"</li><li><b>Det.</b> head</li><li><b>Log. or det.</b> <i>ḏꜣḏꜣ</i>, "head"</li><li><b>Det.</b> <i>gwꜣ</i>, "pull tight"</li></ul>
0x13077$<ul><li><b>Log.</b> <i>ḥr</i>, "face", "upon"</li><li><b>Phon.</b> <i>ḥr</i></li></ul>
0x13078$<ul><li><b>Det.</b> hair</li><li><b>Det.</b> skin</li><li><b>Det.</b> mourn</li><li><b>Det.</b> empty, bald, forlorn</li></ul>
0x13079$<ul><li><b>Log.</b> <i>jrt</i>, "eye"</li><li><b>Phon.</b> <i>jr</i></li><li><b>Det.</b> eye, see</li><li><b>Log. or det.</b> <i>rmj</i>, "weep"</li></ul>
0x1307A$<ul><li><b>Usage as</b> D4 [Det. eye, see]</li></ul>
0x1307B$<ul><li><b>Usage as</b> D4 [Det. eye, see]</li></ul>
0x1307C$<ul><li><b>Det.</b> adorn</li><li><b>Phon. det.</b> <i>ꜥn</i></li><li><b>Det.</b> eye, see</li></ul>
0x1307D$<ul><li><b>Det.</b> <i>Ꜥnw</i>, "Ainu"</li><li><b>Phon. det.</b> <i>ꜥn</i></li></ul>
0x1307E$<ul><li><b>Usage as</b> D8</li></ul>
0x1307F$<ul><li><b>Usage as</b> D4 [Log. or det. <i>rmj</i>, "weep"]</li></ul>
0x13080$<ul><li><b>Log. or det.</b> <i>wḏꜣt</i>, "the uninjured eye of Horus"</li></ul>
0x13081$<ul><li><b>Log.</b> <i>1/2</i>, "1/2 heqat"</li></ul>
0x13082$<ul><li><b>Det.</b> <i>ḏfḏ</i>, "pupil of eye"</li><li><b>Log.</b> <i>1/4</i>, "1/4 heqat"</li></ul>
0x13083$<ul><li><b>Log.</b> <i>1/8</i>, "1/8 heqat"</li><li><b>Det.</b> <i>jnḥ</i>, "eyebrows"</li></ul>
0x13084$<ul><li><b>Log.</b> <i>1/16</i>, "1/16 heqat"</li></ul>
0x13085$<ul><li><b>Log.</b> <i>1/32</i>, "1/32 heqat"</li></ul>
0x13086$<ul><li><b>Log.</b> <i>1/64</i>, "1/64 heqat"</li></ul>
0x13087$<ul><li><b>Log. or det.</b> <i>tjt</i>, "image"</li></ul>
0x13088$<ul><li><b>Log. or det.</b> <i>msḏr</i>, "ear"</li></ul>
0x13089$<ul><li><b>Log. or det.</b> <i>fnḏ</i>, "nose"</li><li><b>Det.</b> nose, smell, face</li><li><b>Det.</b> joy</li><li><b>Det.</b> soft, kind</li><li><b>Det.</b> <i>btn</i>, "disobedient"</li><li><b>Log. or det.</b> <i>ḫnt</i>, "in front of"</li><li><b>Phon.</b> <i>ḫnt</i></li><li><b>Usage as</b> Aa32</li><li><b>Usage as</b> U31</li></ul>
0x1308A$<ul><li><b>Usage as</b> D19</li></ul>
0x1308B$<ul><li><b>Log.</b> <i>rꜣ</i>, "mouth"</li><li><b>Phon.</b> <i>r</i></li></ul>
0x1308C$<ul><li><b>Log.</b> <i>2/3</i>, "two-thirds"</li></ul>
0x1308D$<ul><li><b>Log.</b> <i>3/4</i>, "three-quarters"</li></ul>
0x1308E$<ul><li><b>Log. or det.</b> <i>spt</i>, "lip", "border"</li></ul>
0x1308F$<ul><li><b>Log. or det.</b> <i>sptj</i>, "both lips"</li></ul>
0x13090$<ul><li><b>Det.</b> expel (through mouth)</li></ul>
0x13091$<ul><li><b>Log. or det.</b> <i>mnḏ</i>, "breast"</li><li><b>Det.</b> suckle, rear</li></ul>
0x13092$<ul><li><b>Usage as</b> D27</li></ul>
0x13093$<ul><li><b>Log.</b> <i>kꜣ</i>, "spirit"</li><li><b>Phon.</b> <i>kꜣ</i></li></ul>
0x13094$<ul><li><b>Log.</b> <i>kꜣ</i>, "spirit"</li></ul>
0x13095$<ul><li><b>Det.</b> <i>Nḥb-kꜣw</i>, "Nehebkau"</li></ul>
0x13096$<ul><li><b>Log.</b> <i>ḥm-kꜣ</i>, "ka-priest"</li></ul>
0x13097$<ul><li><b>Usage as</b> D31</li></ul>
0x13098$<ul><li><b>Det.</b> envelop</li></ul>
0x13099$<ul><li><b>Log.</b> <i>ẖnj</i>, "row"</li><li><b>Phon.</b> <i>ẖn</i></li></ul>
0x1309A$<ul><li><b>Log.</b> <i>ꜥḥꜣ</i>, "fight"</li></ul>
0x1309B$<ul><li><b>Usage as</b> D34</li></ul>
0x1309C$<ul><li><b>Log.</b> <i>n</i>, "not"</li><li><b>Det.</b> negation</li><li><b>Log.</b> <i>jwtj</i>, "which not"</li><li><b>Phon.</b> <i>n</i></li><li><b>Phon. det.</b> <i>ḫm</i></li><li><b>Phon. det.</b> <i>mḫ</i></li></ul>
0x1309D$<ul><li><b>Log.</b> <i>ꜥ</i>, "arm"</li><li><b>Phon.</b> <i>ꜥ</i></li><li><b>Usage as</b> D37</li><li><b>Usage as</b> D38</li><li><b>Usage as</b> D39</li><li><b>Usage as</b> D40</li><li><b>Usage as</b> D41</li><li><b>Usage as</b> D42</li><li><b>Usage as</b> D43</li><li><b>Usage as</b> D44</li></ul>
0x1309E$<ul><li><b>Log.</b> <i>jmj</i>, "give!"</li><li><b>Log.</b> <i>ḏj</i>, "give"</li><li><b>Phon.</b> <i>ḏ</i></li><li><b>Phon.</b> <i>mj</i>, <i>m</i></li></ul>
0x1309F$<ul><li><b>Det.</b> <i>jmj</i>, "give!"</li><li><b>Phon.</b> <i>m</i>, <i>mj</i></li></ul>
0x130A0$<ul><li><b>Log. or det.</b> <i>ḥnk</i>, "offer"</li><li><b>Det.</b> offer, present</li><li><b>Usage as</b> D37</li><li><b>Usage as</b> D38</li><li><b>Usage as</b> D36</li></ul>
0x130A1$<ul><li><b>Usage as</b> A24</li><li><b>Log. or det.</b> <i>ḫꜣj</i>, "examine"</li><li><b>Usage as</b> D37</li></ul>
0x130A2$<ul><li><b>Det.</b> arm and movement of arms</li><li><b>Det.</b> cease</li><li><b>Phon. or phon. det.</b> <i>nj</i></li></ul>
0x130A3$<ul><li><b>Log. or det.</b> <i>mḥ</i>, "cubit"</li></ul>
0x130A4$<ul><li><b>Log.</b> <i>ḫwj</i>, "protect"</li><li><b>Phon.</b> <i>ḫw</i></li></ul>
0x130A5$<ul><li><b>Log. or det.</b> <i>ḫrp</i>, "administer"</li><li><b>Usage as</b> D37</li></ul>
0x130A6$<ul><li><b>Log. or det.</b> <i>ḏsr</i>, "sacred"</li></ul>
0x130A7$<ul><li><b>Log.</b> <i>ḏrt</i>, "hand"</li><li><b>Phon.</b> <i>d</i></li></ul>
0x130A8$<ul><li><b>Log.</b> <i>jdt</i>, "fragrance"</li></ul>
0x130A9$<ul><li><b>Det.</b> hand</li></ul>
0x130AA$<ul><li><b>Log.</b> <i>šsp</i>, "palm"</li></ul>
0x130AB$<ul><li><b>Log. or det.</b> <i>ḥnt</i>, "basin"</li></ul>
0x130AC$<ul><li><b>Det.</b> grasp</li></ul>
0x130AD$<ul><li><b>Log. or det.</b> <i>ḏbꜥ</i>, "finger"</li><li><b>Log.</b> <i>ḏbꜥ</i>, "10000"</li><li><b>Phon.</b> <i>ḏbꜥ</i></li></ul>
0x130AE$<ul><li><b>Usage as</b> 2* D50</li></ul>
0x130AF$<ul><li><b>Usage as</b> 3* D50</li></ul>
0x130B0$<ul><li><b>Usage as</b> 4* D50</li></ul>
0x130B1$<ul><li><b>Usage as</b> 5* D50</li></ul>
0x130B2$<ul><li><b>Usage as</b> 6* D50</li></ul>
0x130B3$<ul><li><b>Usage as</b> 7* D50</li></ul>
0x130B4$<ul><li><b>Usage as</b> 8* D50</li></ul>
0x130B5$<ul><li><b>Usage as</b> 9* D50</li></ul>
0x130B6$<ul><li><b>Usage as</b> 5* D50</li></ul>
0x130B7$<ul><li><b>Log. or det.</b> <i>ꜥnt</i>, "nail"</li><li><b>Det.</b> actions involving fingers</li><li><b>Phon. det.</b> <i>dqr</i></li></ul>
0x130B8$<ul><li><b>Det.</b> male, penis</li><li><b>Phon.</b> <i>mt</i></li></ul>
0x130B9$<ul><li><b>Phon.</b> <i>smt</i></li></ul>
0x130BA$<ul><li><b>Det.</b> penis and associated actions</li><li><b>Det.</b> male</li><li><b>Log. or det.</b> <i>bꜣḥ</i>, "* glans"</li></ul>
0x130BB$<ul><li><b>Log.</b> <i>jw</i>, "come"</li><li><b>Det.</b> movement</li><li><b>Log.</b> <i>nmtt</i>, "step"</li></ul>
0x130BC$<ul><li><b>Usage as</b> D54</li></ul>
0x130BD$<ul><li><b>Det.</b> backwards</li></ul>
0x130BE$<ul><li><b>Log. or det.</b> <i>rd</i>, "foot"</li><li><b>Det.</b> foot</li><li><b>Phon. or phon. det.</b> <i>pds</i></li><li><b>Phon. or phon. det.</b> <i>wꜥr</i></li><li><b>Phon. or phon. det.</b> <i>sbq</i></li><li><b>Phon.</b> <i>gḥ</i></li><li><b>Phon. det.</b> <i>gḥs</i></li></ul>
0x130BF$<ul><li><b>Det.</b> mutilate</li><li><b>Phon. or phon. det.</b> <i>jꜣṯ</i></li><li><b>Phon. or phon. det.</b> <i>sjꜣṯ</i></li></ul>
0x130C0$<ul><li><b>Log.</b> <i>bw</i>, "place"</li><li><b>Phon.</b> <i>b</i></li></ul>
0x130C1$<ul><li><b>Phon.</b> <i>ꜥb</i></li></ul>
0x130C2$<ul><li><b>Usage as</b> A6</li></ul>
0x130C3$<ul><li><b>Log. or det.</b> <i>sꜣḥ</i>, "toe"</li><li><b>Phon. or phon. det.</b> <i>sꜣḥ</i></li></ul>
0x130C4$<ul><li><b>Usage as</b> D61</li></ul>
0x130C5$<ul><li><b>Usage as</b> D61</li></ul>
0x130C6$<ul><li><b>Det.</b> <i>kp</i>, "severed hands"</li></ul>
0x130C7$<ul><li><b>Log. or det.</b> <i>ḥnkt</i>, "lock of hair"</li><li><b>Log.</b> <i>šrj</i>, "boy"</li><li><b>Log.</b> <i>šrjt</i>, "girl"</li></ul>
0x130C8$<ul><li><b>Det.</b> writing</li></ul>
0x130C9$<ul><li><b>Log.</b> <i>1</i>, "1 heqat"</li></ul>
0x130CA$<ul><li><b>Usage as</b> 2* D67</li></ul>
0x130CB$<ul><li><b>Usage as</b> 3* D67</li></ul>
0x130CC$<ul><li><b>Usage as</b> 4* D67</li></ul>
0x130CD$<ul><li><b>Usage as</b> 5* D67</li></ul>
0x130CE$<ul><li><b>Usage as</b> 6* D67</li></ul>
0x130CF$<ul><li><b>Usage as</b> 7* D67</li></ul>
0x130D0$<ul><li><b>Usage as</b> 8* D67</li></ul>
0x130D1$<ul><li><b>Usage as</b> 9* D67</li></ul>
0x130D2$<ul><li><b>Log.</b> <i>kꜣ</i>, "bull"</li><li><b>Log.</b> <i>jḥ</i>, "cattle"</li><li><b>Det.</b> cattle</li></ul>
0x130D3$<ul><li><b>Log.</b> <i>kꜣ</i>, "bull"</li><li><b>Det.</b> <i>smꜣ</i>, "fighting bull"</li></ul>
0x130D4$<ul><li><b>Log. or det.</b> <i>bḥs</i>, "calf"</li><li><b>Det.</b> <i>wnḏw</i>, "short-horned cattle"</li></ul>
0x130D5$<ul><li><b>Log. or det.</b> <i>ḥsꜣt</i>, "sacred hesat-cow"</li></ul>
0x130D6$<ul><li><b>Det.</b> solicitous</li></ul>
0x130D7$<ul><li><b>Log. or det.</b> <i>ssmt</i>, "horse"</li><li><b>Det.</b> horse</li></ul>
0x130D8$<ul><li><b>Log. or det.</b> <i>ꜥꜣ</i>, "ass"</li></ul>
0x130D9$<ul><li><b>Log. or det.</b> <i>jb</i>, "kid"</li><li><b>Phon. or phon. det.</b> <i>jb</i></li><li><b>Det.</b> small cattle</li></ul>
0x130DA$<ul><li><b>Usage as</b> E8</li></ul>
0x130DB$<ul><li><b>Phon.</b> <i>jw</i></li></ul>
0x130DC$<ul><li><b>Det.</b> <i>smꜣ</i>, "sacrificial animal"</li></ul>
0x130DD$<ul><li><b>Log. or det.</b> <i>bꜣ</i>, "ram"</li><li><b>Det.</b> ram, sheep</li></ul>
0x130DE$<ul><li><b>Usage as</b> E10</li></ul>
0x130DF$<ul><li><b>Log. or det.</b> <i>rrj</i>, "pig"</li><li><b>Log. or det.</b> <i>šꜣj</i>, "pig"</li></ul>
0x130E0$<ul><li><b>Log. or det.</b> <i>mjw</i>, "cat (m.)"</li><li><b>Log. or det.</b> <i>myt</i>, "cat (f.)"</li></ul>
0x130E1$<ul><li><b>Log. or det.</b> <i>jw</i>, "dog"</li><li><b>Log. or det.</b> <i>ṯsm</i>, "dog"</li></ul>
0x130E2$<ul><li><b>Log. or det.</b> <i>Jnpw</i>, "Anubis"</li><li><b>Log.</b> <i>ḥrj-sštꜣ</i>, "master of secrets"</li></ul>
0x130E3$<ul><li><b>Usage as</b> E15</li></ul>
0x130E4$<ul><li><b>Usage as</b> E15</li></ul>
0x130E5$<ul><li><b>Log. or det.</b> <i>sꜣb</i>, "jackal", "dignitary"</li></ul>
0x130E6$<ul><li><b>Log. or det.</b> <i>sṯꜣ</i>, "drag"</li><li><b>Phon. or phon. det.</b> <i>sṯꜣ</i></li></ul>
0x130E7$<ul><li><b>Log. or det.</b> <i>Wpj-wꜣwt</i>, "Wepwawet"</li></ul>
0x130E8$<ul><li><b>Usage as</b> E18</li></ul>
0x130E9$<ul><li><b>Log.</b> <i>Stḫ</i>, "Seth"</li><li><b>Det.</b> turmoil</li><li><b>Usage as</b> E7</li><li><b>Usage as</b> E27</li></ul>
0x130EB$<ul><li><b>Det.</b> turmoil</li></ul>
0x130EC$<ul><li><b>Log. or det.</b> <i>mꜣj</i>, "lion"</li></ul>
0x130ED$<ul><li><b>Log. or det.</b> <i>rw</i>, "lion"</li><li><b>Phon.</b> <i>rw</i></li><li><b>Usage as</b> U13</li></ul>
0x130EE$<ul><li><b>Log. or det.</b> <i>ꜣby</i>, "panther"</li></ul>
0x130EF$<ul><li><b>Log. or det.</b> <i>db</i>, "hippopotamus"</li><li><b>Log. or det.</b> <i>ḫꜣb</i>, "hippopotamus"</li></ul>
0x130F0$<ul><li><b>Log. or det.</b> <i>ꜣbw</i>, "elephant"</li></ul>
0x130F1$<ul><li><b>Log. or det.</b> <i>mmj</i>, "giraffe"</li><li><b>Det.</b> foretell</li></ul>
0x130F2$<ul><li><b>Log. or det.</b> <i>mꜣ-ḥḏ</i>, "oryx"</li></ul>
0x130F3$<ul><li><b>Usage as</b> NU16</li></ul>
0x130F4$<ul><li><b>Log. or det.</b> <i>gḥs</i>, "gazelle"</li></ul>
0x130F5$<ul><li><b>Log. or det.</b> <i>njꜣw</i>, "ibex"</li></ul>
0x130F6$<ul><li><b>Log. or det.</b> <i>sꜥḥ</i>, "rank", "dignity"</li></ul>
0x130F7$<ul><li><b>Log. or det.</b> <i>jꜥn</i>, "baboon"</li><li><b>Det.</b> monkey</li><li><b>Det.</b> furious</li></ul>
0x130F8$<ul><li><b>Log. or det.</b> <i>gjf</i>, "vervet monkey"</li></ul>
0x130F9$<ul><li><b>Phon.</b> <i>wn</i></li></ul>
0x130FA$<ul><li><b>Usage as</b> E34</li></ul>
0x130FB$<ul><li><b>Log.</b> <i>Ḏḥwtj</i>, "Thoth"</li><li><b>Log.</b> <i>ḏd</i>, "say"</li><li><b>Log.</b> <i>nfr</i>, "beautiful"</li><li><b>Usage as</b> E37</li></ul>
0x130FC$<ul><li><b>Det.</b> <i>šbt</i>, "water-clock"</li></ul>
0x130FD$<ul><li><b>Usage as</b> E1</li></ul>
0x130FE$<ul><li><b>Usage as</b> E1</li></ul>
0x130FF$<ul><li><b>Det.</b> nose, smell, face</li><li><b>Det.</b> joy</li></ul>
0x13100$<ul><li><b>Det.</b> <i>ḏnd</i>, "rage"</li></ul>
